tweet_id,tweet_datetime,tweet_hashtags,tweet_language,retweet_count,tweet_source,tweet_source_url,tweet_text,user_created_datetime,user_name,user_followers_count,user_description,user_location,searched_by_hashtag,searched_at_datetime,searched_hashtag_country,latitude,longitude
1.43E+18,04/09/2021 10:44,,en,214,Twitter for iPhone,http://twitter.com/download/iphone,"RT @TheBlueGem3: Prior to Stampede AB had 30 cases, 30! We could have been Covid zero but we lacked leadership to do so. Fast forward &amp; our…",04/08/2017 00:58,Ckeyag🇨🇦🇧🇩,2248,"Proud Canadian. Liberal, hater of Trump and like minded. Stronger together. Do not tweet much, but love twitter.","Toronto, Ontario",#ResignKenney,15:49.9,Canada,-41.1667,146.1667
1.43E+18,04/09/2021 10:25,"ResignKenney, ResignHinshaw",en,11,Twitter for Android,http://twitter.com/download/android,"RT @EveryAlbertan: 🤣🤣🤣🤣🤣🤣🤣
Omg. Gonna be watching this on repeat tonight to feel better.
#ResignKenney #ResignHinshaw",18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-34.8808,150.6075
1.43E+18,04/09/2021 10:25,"ResignKenney, ResignHinshaw, FiretheUCP",en,11,Twitter for Android,http://twitter.com/download/android,RT @ScanetJanet: I am absolutely GOBSMACKED..DISCOURAGED AND JUST F**CKING FURIOUS.  #ResignKenney #ResignHinshaw #FiretheUCP,18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-38.0712,145.4878
1.43E+18,04/09/2021 10:24,ResignKenney,en,9,Twitter for Android,http://twitter.com/download/android,RT @Isuckatpicking: When you’ve lost Rick Bell you’re a complete failure. #ResignKenney https://t.co/pg1hJpZpe9,18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-38.15,144.35
1.43E+18,04/09/2021 10:24,,en,81,Twitter for Android,http://twitter.com/download/android,"RT @PaulMitchell_AB: Alberta Premier Jason Kenney: ""I wish we didn't have to do this, but now is not the time for moral judgements""

Actual…",18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-28.8667,153.05
1.43E+18,04/09/2021 10:24,,en,13,Twitter for Android,http://twitter.com/download/android,"RT @KerrLumley: “We’ve left no stone unturned.” - @jkenney 
Except for the one where the unvaxxed bear the restrictions and we have a vacci…",18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-34.55,150.3833
1.43E+18,04/09/2021 10:23,,en,16,Twitter for Android,http://twitter.com/download/android,RT @janjette: Do you honestly think these people are going to be bribed with $100? Take away their ability to go into a liquor store or Tim…,18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-34.4331,150.8831
1.43E+18,04/09/2021 10:23,,en,39,Twitter for Android,http://twitter.com/download/android,"RT @Isuckatpicking: So the 5% wage rollback for healthcare workers is going to pay $100 to the people who put their lives at risk………… 

#Re…",18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-21.0931,149.186
1.43E+18,04/09/2021 10:23,,en,71,Twitter for Android,http://twitter.com/download/android,RT @TheBlueGem3: Kenney is 3 weeks too late with the mask mandate. My crystal ball says in two weeks the UCP will have no choice but to imp…,18/11/2011 18:53,Socially distancing 4400 km away from Alberta,405,"She/her Canadian🍁 fighting Alberta marginalization🖕 Helping in Mental Health Crisis Intervention🎭
Friends of animals❤
Avid Coffee junkie ☕
No DM please👍","Alberta, Canada",#ResignKenney,15:49.9,Canada,-28.0167,153.4
1.43E+18,04/09/2021 10:06,ableg,en,30,Twitter for iPhone,http://twitter.com/download/iphone,"RT @frempireak: Albertans are in this horrible predicament because of their negligence so where is the accountability? 
#ableg

#ResignHins…",10/03/2009 19:11,Jessica🇨🇦,3650,Living Organ Donor I try to be kind but sometimes it’s a struggle on here🙄Please don’t retweet my pictures...it’s just creepy,canada,#ResignKenney,15:49.9,Canada,-38.15,145.9333
